#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS:  19 656
# Band-Index    1
   0.17538    -19.491580  0.000  0.000  0.000  0.001
   0.14030    -19.489240  0.000  0.000  0.001  0.001
   0.10523    -19.490307  0.000  0.000  0.000  0.001
   0.07015    -19.532700  0.000  0.000  0.000  0.001
   0.03508    -19.582529  0.000  0.000  0.001  0.001
   0.00000    -19.605894  0.000  0.000  0.001  0.001
 
# Band-Index   25
   0.00000    -19.238013  0.000  0.001  0.000  0.001
   0.03508    -19.259196  0.000  0.001  0.000  0.001
   0.07015    -19.313637  0.000  0.001  0.000  0.001
   0.10523    -19.370084  0.000  0.000  0.001  0.001
   0.14030    -19.386320  0.000  0.000  0.000  0.001
   0.17538    -19.419935  0.000  0.000  0.000  0.001
   0.21045    -19.441944  0.000  0.000  0.000  0.001
   0.21045    -19.441944  0.000  0.000  0.000  0.001
   0.25095    -19.374534  0.000  0.000  0.000  0.000
   0.29145    -19.320901  0.000  0.000  0.000  0.001
   0.33196    -19.387823  0.001  0.000  0.000  0.001
   0.33196    -19.387823  0.001  0.000  0.000  0.001
   0.36667    -19.383729  0.000  0.000  0.000  0.001
   0.40139    -19.435642  0.000  0.000  0.000  0.001
   0.43610    -19.384833  0.000  0.000  0.000  0.000
   0.47082    -19.375726  0.000  0.001  0.000  0.001
   0.50553    -19.307356  0.000  0.001  0.000  0.001
   0.54025    -19.253489  0.000  0.001  0.000  0.001
   0.57496    -19.238013  0.000  0.001  0.000  0.001
 
# Band-Index   26
   0.57496    -19.072336  0.000  0.002  0.000  0.002
   0.54025    -19.109888  0.000  0.001  0.000  0.001
   0.50553    -19.167965  0.000  0.001  0.000  0.001
